CollectionID,Title,Identifier,FeaturedText,Description,Strengths,PhysicalCharacteristics,CollectionType,AccessControl,AccrualPolicy,AccrualMethod,AccrualPeriodicity,AccrualGenStatement,CollectionNotes,LegalStatus,CustodialHistory,CollectionTemporalStart,CollectionTemporalEnd,AccumulationDateStart,AccumulationDateEnd,ContentsDateStart,ContentsDateEnd,DescriptionOrCatalogue,PublicationsNote,LocationID,OwnerID,OldCollectionID,ModerationFlag,LastUpdate,URLToCollection,oaiSet,InProgress,NorthernBridgeEntry,name_ids,area_ids,collector_ids,media_ids,subject_ids,asscociated_ids,language_ids
252,Wilkinson Papers,D/1292,,"Official and private correspondence etc of Sir Hiram Shaw Wilkinson (1840-1936), leading judge and diplomat. Born in 1840, son of John Wilkinson of Belfast and Annabella Shaw of Waringstown, Co. Down, Wilkinson led a distinguished legal and diplomatic career in the Far East during the late 19th and early 20th centuries holding various positions in Japan, China and Korea including that of Vice-Consul in Japan, 1877, Acting Assistant Judge at Shanghai in 1879 and Crown Advocate in 1881. He was also British Commissioner for the settlement of claims after the Canton riots in 1883, Judge of HM Court for Japan, 1897-1900, and Chief Justice of HM Supreme Court for China and Korea, 1900-1905. <br><br>Of the non-official papers to be found in the collection, there are a number of interesting letters sent to him from his brother-in-law, Samuel Gaffikin, in Belfast, 1867-1870, referring to lectures at the Methodist College in Belfast, the visit of Prince Arthur to the North of Ireland and rioting in Londonderry, the education of destitute Roman Catholic children in industrial schools and the linen trade. Other papers and correspondence pertain to the Irish Convention in 1918, a threatening letter etc. from the Irish Republican Army in March 1922, a detailed personal account book of Wilkinson's father, John, whilst working in Belfast, 1827-1841, and some Irish Land Commission papers relating to the Wilkinson property at Moneyshanere, Co. Londonderry, c.1900-c.1930. There are also commissions of appointment, graduation certificates, references and draft wills of Hiram Wilkinson, c.1860-1908.<br><br>A significant portion of the archive comprises papers relating to Wilkinson's successful legal career in the Far East, 1877-1905. Topics covered include: papers, 1887-1893, concerning opium smuggling; correspondence between Wilkinson and the British Foreign Office on matters such as the administration of justice in the province of Yunam, Nov.-Dec. 1902; his appointment to the post of Crown Advocate at Shanghai, 1880-1881; the enforcement by British Courts in China of the Judgments and Orders of the Courts of other Nationalities, 1902; papers relating to various legal cases; detailed and important correspondence, 1876-1885, between Wilkinson and Sir Harry Parkes, a leading British diplomat, who was identified with every forward movement of Japan towards unification and assimilation to western civilization at this time. He was British Minister to China from 1883 until his death in 1885 and minister-plenipotentiary to the King of Korea, 1884-5.",The collection  is a useful research tool for the study of the administration of the British legal system in the Far East at the end of the nineteenth and beginning of the twentieth centuries.,"c. 1,000 items, 1864-c.1905 comprising a range of documents, volumes, photographs and printed material occupying 7 PRONI boxes.",Collection. Archive.Text.,"The collection is stored in secure, closed accommodation and can be requested for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Loan,Closed,,,,,,,,,1864,,See PRONI reference D/1292 for catalogue of the papers.The catalogue is available for consultation in PRONI's Public Search Room.,Archive Collection,24,349,674,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=252,rascal,0,,"674,1201,1388,1911",,330,,,,177
253,Young & Mackenzie Papers,D/2194,,"Business records and other papers of Young & Mackenzie, Architects, Donegall Square West, Belfast, 1825-1937. Established in 1854, the firm of Young & Mackenzie was originally set up in Belfast by the Rt Hon. Robert Young (1822-1917), who had previously articled with the renowned architect, Charles Lanyon, in partnership with John Mackenzie. They were later joined by Young’s son, Robert, who made a huge personal contribution to the work of the practice by his design of numerous high profile nineteenth century buildings including many Ulster Presbyterian churches, manses and schools; mansions and large warehouses; hospitals for several public authorities and well-known buildings. The Youngs also contributed significantly to contemporary study of various architectural, historical, antiquarian and geological subjects. <br><br>The bulk of the archive consists of specifications, bills of quantities, estimates, plans etc., 1854-1937, relating to the firm's design of public buildings, churches, schools, hospitals etc. throughout the Province, but more particularly in Belfast, for example, the Presbyterian War Memorial Hostel, the Malone, Rosemary Street, Crumlin Road, Knock, Old Park and Donegall Road Presbyterian churches, Belfast Royal Academy, Robinson & Cleaver and the Northern Ireland Fever Hospital. Also of much interest are the administrative records of the firm which include: copy out-letter books, 1904-7, and special copy out-letter books, 1897-1920, concerning work for Belfast Poor Law Union and Belfast Rural District Council; business diaries, 1895-1933; cost book, c.1861-c.1871, with details of consultations with clients.<br><br>In addition to the mass of architectural records generated by the day to day running of the business, the outside cultural interests of the Young’s are also heavily documented in the papers. There is a minute book of the Belfast Architectural Association, 1872-6, formed in 1872 for the study of architectural subjects and Robert Magill Young's manuscript notes from the Pinkerton Manuscripts together with a collection of copper plates showing views of Belfast, 1670-c.1829, which were used by him in his book 'Historical Notices of Old Belfast and its Vicinity'. Also of note are his personal papers, c.1902-1907, including his sketch book containing drawings of details on buildings in Belfast, c.1904. It should be noted that PRONI also holds as a separate collection (ref. D/2930) of other records of the Young family largely consisting of papers collected in the course of their historical research.<br><br>Other themes not strictly pertaining to architecture in the collection include religion, transport and education. There is a diary of the Rev. Robert Magill of 1st Antrim Presbyterian Church, Co. Antrim, 1834; papers of the Belfast and Ballymena Railway Company, 1847; reports of the Belfast and Co. Down Railway Company, 1867 and 1872; a return of schools in Belfast parish for the education of the poor; a return of schools in the Belfast Sunday School Union with details of the number of teachers and scholars in temperance societies etc., 1839; papers of Ladies Collegiate School, Belfast, 1874.","The Young and Mackenzie Papers are particularly strong because of the information which they contain - largely in the form of plans, drawings, specifications etc. - for students researching architecture in Belfast (and to a lesser degree, elsewhere in Ulster) c.1850-c.1930. More specifically, they are of significance because of the wide range of types of buildings which were designed and for which the records have survived. The collection is also worth consulting for a range of topics for the same general period including religion, education, travel and transport, antiquarianism and historiography etc.","c. 12,000 items, 1825-1937, comprising a range of documents, volumes, plans, drawings, newspaper cuttings, photographs and glass plate negatives occupying c.50 PRONI boxes.",Collection. Archive. Text. Image,"The collection is stored in secure, closed accommodation and the greater part of it which is catalogued can be requested for on-site consultation using an in-house document ordering system. Access is supervised and for research and/or reference purposes only.",Closed,Loan,Closed,,,,,,,,,1825,1937,See PRONI reference D/2194 for catalogue of the papers. The catalogue is available for consultation in PRONI's Public Search Room.,Archive Collection,24,350,675,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=253,rascal,0,,"141,142,143,176,1016,1131,1140,1955,1966,1967",,331,,,61,177
254,Sites and Monuments Record,,,"The Sites and Monuments Record (SMR) is maintained and administered by the Built Heritage branch of the Department of the Environment and Heritage Service for Northern Ireland. It is a map-based record with data on almost 15,000 archaeological sites and historic monuments located throughout the 6 counties of Northern Ireland. These range from Mesolithic camp sites, Bronze Age landscapes preserved under bog, through to Early Christian monasteries, the castles of the Norman Conquest and the defended houses of the Plantation settlers of 17th century Ulster. Each site is referenced by a unique identifier and a separate file maintained for each. These files contain a range of pertinent information relevant to each individual site including geographical details such as grid references and which townland and parish the site is located, as well as typological details – what the site is, what time period it belongs to, any known site names etc. Descriptions of each site prepared by departmental inspectors and staff are also to be found in addition to lists of available references for each site and copies/extracts of any published articles, maps, plans, photographs, historic manuscripts and/or archival material that may be relevant. Individual references to each site are also stored on the Northern Ireland Sites and Monuments Database which is accessible on-line via a detailed digital map which is available in-house.",The strength of the SMR lies in the completeness of its coverage and subject matter. It comprises a unique and comprehensive working record of the sites and monuments to be found in the north of Ireland.,"The SMR contains approx. 15,000 files comprising a range of original and copied papers and photographs.",Collection. Archive. Text. Image,Access is available to all interested persons for reference purposes only.,Active,Donation,Regular,The SMR  is an evolving resource developing as a result of on-going work by the department.,,,,,,,,,,"The collection is arranged and indexed according to a unique identifying reference system. Files are physically arranged in accordance to this series with details available in both hard-copy and in digital formats. <br><br>Information can also be accessed on-line via the <a href=""http://www.ehsni.gov.uk/BuiltHeritage/"" target=""new_window"">Northern Ireland Sites and Monuments Record Database</a> or alternatively through the <a href=""http://ads.ahds.ac.uk/catalogue/"" target=""new_window"">AHDS Archaeology Data Service</a>.",,44,351,676,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=254,rascal,0,,608,,288,,,,177
255,Architectural Record,Environment & Heritage Service: Built Heritage,,"The Architectural Record is maintained and administered by the Built Heritage branch of the Department of the Environment and Heritage Service for Northern Ireland. It comprises a series of records on over 15,000 historic buildings and features located throughout the 6 counties of Northern Ireland both past and present. Most of the buildings included have been recorded for their special architectural or historic interest and can include anything built over 30 years ago ranging from prominent stately homes and corporate buildings to water pumps and post-boxes. Arranged geographically according to county, a separate file is maintained for each structure. Each file contains a range of pertinent information relevant to each individual property or structure although the level of this information can vary with properties in Armagh, for instance, being particularly detailed. A Second Survey of ""listed"" buildings is currently underway by the Department which will greatly enhance existing records with detailed descriptions of structure and development and historical overviews provided for each. Individual references to each site in the Second Survey are stored on the Northern Ireland Buildings Database which is accessible on-line. A separate series recording details of some 2000 local architects practicing in Northern Ireland is also maintained by the Department. This record was compiled during the 1970s from various directories and guides and includes lists of works, addresses and publications etc relating to each architect then operating in the province.","The Architectural Record is a unique and comprehensive working record of the many historic and/ ""listed"" structures and features to be found in the north of Ireland, particularly for the Co. Armagh area. It also includes information on important buildings that have been lost to the national heritage.","Approx. 17,000 files comprising a range of original and copied papers and photographs. 15,000 of these files relate particularly to individual structures with the remaining 2,000 relating to actual architects.",Collection.Archive.Text,Access is available to all interested persons for reference purposes only.,Active,Donation,Regular,The AR is an evolving resource developing as a result of on-going work by the department.,,,,1980,1989 tbc,1980,1989 tbc,1950,1989 tbc,Original files can be accessed on-site at the offices of the Monuments and Buildings Record. Details can also be accessed online via the Northern Ireland Buildings Database <br /><br />http://www.doeni.gov.uk/niea/other-index/content-databases/content-databases-build.htm<br /><br />,,44,80,677,-1,12/13/2013,http://www.rascal.ac.uk/index.php?CollectionID=255,rascal,0,,,1,473,7,3,,177
256,MBR Collection of Architectural Drawings,,,"The architectural drawings collection of the Monuments and Buildings Record (MBR) is maintained and administered by the Built Heritage branch of the department of the Environment and Heritage Service for Northern Ireland. It contains over 40,000 original architectural drawings in draft, final and blue print formats, electrical and plumbing plans, elevations etc relating to properties located throughout the north of Ireland and some in the Republic of Ireland. Most notable are those by important local architects such as John McGeagh (1901-1985) who was responsible for the Sir William Whitla Hall (c. 1949) and the main Library Tower (1967) at Queen's University Belfast, G. Philip Bell (1908-1982) and Robert McKinstry, who is particularly renowned for his work on the Grand Opera House (1977-80), St. Anne's Cathedral (c. 1986) and the Crown Liquor Saloon in Belfast. The collection also includes an important series of Works Service (Finn) files, which record the architecture of many of Northern Ireland's public buildings from the 1920s onwards and the Clokey Collection of Stained Glass Window Designs.",The MBR collection of Architectural Drawings is a unique assemblage of original drawings unavailable elsewhere.,"Approx. 40,000 drawings",Collection. Archive. Image,Access is available to all interested persons for reference purposes only.,Active,Donation,Regular,"An evolving resource developing through a combination of loans, purchase, gifts and on-going work of the department.",,,,,,,,,,A comprehensive descriptive catalague is available for consultation in hard copy at the MBR offices.,Archive Collection,44,351,678,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=256,rascal,0,,"180,409,610,1184,1189,1932",,288,,,,177
257,Clokey Collection of Stained Glass Window Designs,,,"Collection of stained glass window designs by The Clokey Stained Glass Studios of Belfast, c. 1895-c. 1970. The Clokey Stained Glass Studios constituted a separate department of Campbell Brothers, glass merchants of Belfast, which was established in 1904 when W.F. Clokey (c. 1870-1930) went into partnership with his former employer, James A. Campbell. Of Huguenot descent, the Clokey name and product gained nationwide respect and was famed throughout Ireland for its beautiful church windows. Indeed, their designs were so highly valued that great pains were taken during the Second World War to remove them from Belfast and store them in the country for safekeeping. <br><br>Remarkably few original designs survive today as the majority were lost to fire during a bombing incident in the 1970s. Those held in this collection available by the Environment & Heritage Service are thus an important and unique resource. Consisting of some 180 original illustrations and drawings, the collection is divided into four main categories: Domestic Glass designs; Symbolic and Decorative Glass; Narrative and Figurative Glass; and Heraldic and Memorial Glass. Of these, predominant is the work of the local artist, Olive Henry, who joined the firm direct from school in c. 1923. George Walsh, who was employed in the Clarke Studios in Dublin, is also represented, as are a number of earlier illustrations originating from the studio of Ward & Partners of Belfast which were added to the archive when Francis Ward, founder of the firm, joined Clokey in 1925.",Good range of drawing designs from a very important local manufacturer of stained glass.,180 items comprising designs and illustrations etc.,Collection. Archive. Image,Access is available to all interested persons for reference purposes only.,Closed,Purchase,Closed,,,,,,,,,,,"Catalogue of the Clokey Collection of Stained Glass, Colin Hatrick (3 vols., Feb 1995). This catalogue is available for consultation at the MBR.",Archive Collection,44,351,679,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=257,rascal,0,,"223,329,408,859,1847,1858,1862",,335,,,,177
258,Defence Heritage Project,,,"The Defence Heritage Project was initiated in c. 1997 as part of the Defence of Britain Project co-ordinated by the Council for British Archaeology (CBA). It aims to create a permanent record of the many 20th-century defensive structures located throughout Northern Ireland including trenches, gun and search emplacements, pillboxes, observation posts, airfields, harbours, naval and flying boat bases, air raid shelters, etc. <br><br>Compiled by a dedicated group of volunteers under expert guidance by staff in the Environment & Heritage Service for Northern Ireland, the record that has so far been created comprises approx. 200 files relating to each individual feature or structure identified. These files contain a range of pertinent information relevant to each site including grid references, detailed descriptions, copied articles, extracts, illustrations maps, plans and photographs etc. Details are stored in hard-copy as part of the Monuments and Buildings Record maintained by the Built Heritage branch of the Environment and Heritage Service with digital copies sent to the Defence of Britain Project where they are integrated into the main Project database. The records are filed by county/unitary authority in numeric sequence.",The strength of the Defence Heritage Project lies in the completeness of its coverage and subject matter. It comprises a unique and comprehensive working record of 20th century military structures found throughout the north of Ireland.,The Defence Heritage Project contains approx. 200 files comprising a range of original and copied papers and photographs.,Collection. Archive. Text. Image,Access is available to all interested persons for reference purposes only.,Active,Donation,Regular,The Defence Heritage Project is an evolving resource developing as a result of on-going work by the department.,,,,,,,,,,"The collection is arranged and indexed according to a unique identifying reference system. Files/records are arranged by county/unitary authority in numeric sequence with details available in both hard-copy and digital formats. <br><br>Information can also be accessed on-line on <a href=""http://www.britarch.ac.uk/projects/dob/"" target=""new_window"">http://www.britarch.ac.uk/projects/dob/a> and <a href=""http://ads.ahds.ac.uk/catalogue/resources.html?dob"" target=""new_window"">http://ads.ahds.ac.uk/catalogue/resources.html?dob</a>.",,44,351,680,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=258,rascal,0,,"451,510,511,607",,288,,,,177
259,Heritage Gardens Inventory,,,"The Heritage Gardens Inventory is maintained and administered by the Built Heritage branch of the Department of the Environment and Heritage Service for Northern Ireland. It comprises a comprehensive series of records on over 700 designed parks, gardens and demesnes to be found throughout the 6 counties of Northern Ireland. <br><br>Arranged alphabetically by county, each site is referenced by a unique identifier and a separate file maintained for each. These files contain a range of pertinent information relevant to each individual site including detailed descriptions, copied articles, extracts, illustrations maps, plans, photographs and other original source materials. <br><br>The majority of the material was initially collected as part of a dedicated survey by the Historic Gardens Consultant, Belinda Jupp, on behalf of the Northern Ireland Heritage Gardens Committee. The resultant collection was deposited with the Department in c. 1993 and now forms an integral part of the Monuments and Buildings Record for Northern Ireland held there.","The strength of the Heritage Gardens Inventory lies in the completeness of its coverage and subject matter. It comprises a unique and comprehensive working record of the various historic parks, gardens and demesnes to be found throughout the north of Ireland.",The Heritage Gardens Inventory contains approx. 700 files comprising a range of original and copied papers and photographs.,Collection. Archive. Text. Image,Access is available to all interested persons for reference purposes only.,Active,Donation,Regular,The Heritage Gardens Inventory is an evolving resource developing as a result of on-going work by the department.,,,,,,,,1989,,"The collection is arranged and indexed according to a unique identifying reference system. Files are physically arranged in accordance to this series with descriptions and maps of 300 protected sites recorded electronically an on-line Register which is available on on-site access. See also Northern Ireland Heritage Gardens Inventory compiled by Belinda Jupp (Belfast, 1992, 1993). <br><br>Details have also been incorporated into the <a href=""http://www.york.ac.uk/depts/arch/landscapes/ukpg/database/"" target=""new_window""> United Kingdom Database of Historic Parks and Gardens (UKPG)</a>.",,44,356,681,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=259,rascal,0,,"603,983,1307,1461",,"337,288",,,,177
260,Industrial Heritage Record,Industrial Archaeology Record,"The record is a map-based with data on over 18,000 important industrial sites and remains located throughout the 6 counties of Northern Ireland comprising factories, mills, ridges, canals and railways etc.","<p>The Industrial Archaeology Record (or Industrial Heritage Record as is sometimes known) is maintained and administered by the Built Heritage branch of the Department of the Environment and Heritage Service for Northern Ireland (EHS). It is a map-based record with data on over 18,000 important industrial sites and remains located throughout the 6 counties of Northern Ireland comprising factories, mills, ridges, canals and railways etc. Initiated in the 1980s as a map-based survey by the Institute of Irish Studies at Queen's University with finance from the Department of the Environment, and later the Greater Belfast Industrial Archaeology Survey, the IAR was established to record the relics of Northern Ireland's industrial past. Belfast is particularly well documented as a result of these early efforts which were conducted by the industrial archaeologists, Dr Fred Hamond and Cormac Scally through the Institute of Irish Studies and through additional work by Colin Rynne on mills in West Belfast. Features and sites to be found in the Glens of Antrim have also been recorded as have numerous railways and canals including the Newry Canal which has now received official designation as a scheduled site of importance.</p><br><p> The McCutcheon Collection forms a major part of the IAR comprising the research notes and fieldwork of Dr Alan McCutcheon who was commissioned by the Ministry of Finance during the 1960s to carry out a comprehensive survey of the industrial heritage of Northern Ireland. The archive consists of material compiled during the field survey carried out in the 1960s of commercial and industrial monuments and features including a photographic record of over 20,000 exposures covering the counties of N. Ireland and a small number of photographs in Donegal and Monaghan. The Archive is particularly important as large numbers of industrial monuments and features were surveyed that no longer exist.</p><br><p> With the exception of the McCutcheon Collection, each site included in the Industrial Archaeology Record is referenced by a unique identifier with a separate file maintained for each. These files contain a range of information relevant to each individual site including field notes from the various surveys, map references and descriptions, published articles and extracts, and photographs etc. Files continue to be expanded by the Department as a result of on-going work.</p>","The strength of the Industrial Archaeology Record (IAR) lies in the completeness of its coverage and subject matter. It comprises a unique and comprehensive working record of both extant and extinct industrial sites and remains in the north of Ireland, providing a valuable commentary on the industrial development and history of the area.","The IAR contains approx. 18,000 files comprising a range of original and copied papers and photographs.",Collection.Archive.Text,Access is available to all interested persons for reference purposes only.,Active,Donation,Regular,The IAR is an evolving resource developing as a result of on-going work by the department.,,,,1960,1989,1980,1989 tbc,1960,1989 tbc,The collection is arranged and indexed according to a unique identifying reference system. Files are physically arranged in accordance to this series with details available in both hard-copy and digital formats.,,44,351,682,-1,2/11/2013,http://www.rascal.ac.uk/index.php?CollectionID=260,rascal,0,,,1,473,7,3,,177
261,W.A. McCutcheon Archive,,,"Research collection of the industrial archaeologist, W.A. McCutcheon. An extensive and important collection, it comprises the cumulative working notes, photographs, slides and papers etc accumulated and compiled by McCutcheon in the preparation of his major work, The Industrial Archaeology of Northern Ireland (1980). Commissioned by the then Ancient Monuments Advisory Council, McCutcheon was appointed in 1962 to carry out a comprehensive survey of all industrial monuments in Northern Ireland. This work took some 6 years to complete and involved detailed inspections, assessments and documentation of all the material remains of 18th and 19th century industry and communications extant in the province at that time. The resultant resource concentrates on vital aspects of the region’s industrial and commercial history, highlighting and providing a basic framework for many other areas of inquiry. Specific references are made to sites and features of historical significance or topographical importance particularly those relating to the evolution, adaptation and decline of internal transport systems (roads, bridges, railways and canals), the development of power technology and its impact on Ulster’s flax and linen industry, and the evolution of industry and communication in the north of Ireland more generally. The collection itself contains an extensive photographic archive and a considerable collection of related documentary and archival resources assembled by McCutcheon during the period of research (1962-68). This last element ranges from a large number of original civil engineering and architectural drawings to business records, copy patents, collections of prints and negatives of renaissance technology, miscellaneous correspondence, plans, specifications, biographies, catalogues, and trade brochures etc. McCutcheon’s original field notes are also to be found within the collection. These run to over 1000 pages and are contained in two closely written, illustrated ledgers.","The McCutcheon Archive represents a unique and important resource for a wide range of research into many aspects of Irish Social and Economic History. It is particularly valuable for recording the physical features and structures of Northern Ireland's industrial heritage, many of which have since succumbed to years of decay and destruction. A database is being established which will enable search by placenames and site types.","The collection includes approx. 27,000 monochrome prints and negatives (mostly large format, 2000 slides of which 240 are in colour, 5000 typed card extracts from the Griffith valuations, approx. 100 drawings (mostly 19th century), two volumes of field notes and 71 cubic feet of published and unpublished papers, article and book proofs, newspaper cuttings, handbooks, pamphlets, books, leaflets, manuals, various reports, advertising sheets, factory returns, xerox extracts from publications and other items..",Collection.Archive.Text,"Collection is not available for consultation at present as it is being catalogued. For further information please contact the Monuments and Buildings Record, 5-33 Hill Street, Belfast BT1 2LA.",Closed,Donation,Closed,,,,,1962,1968,1960,1980,1962,1968,"The collection is currently in the process of detailed cataloguing by the Environment & Heritage Service: Built Heritage. Many items, including the photographic elements, are, however, already indexed according to townland and County and can be located on that basis.",,44,351,683,-1,2/1/2013,http://www.rascal.ac.uk/index.php?CollectionID=261,rascal,0,,,1,340,7,3,,177
262,MBR Library Collection,,,"The library collection of the Monuments and Buildings Record (MBR) is maintained and administered by the Built Heritage branch of the department of the Environment and Heritage Service for Northern Ireland. It represents a comprehensive, specialised collection of approx. 10,000 publications reflecting the collecting interests of the Built Heritage department and has been developed to assist in the work of that department. It contains good collections for architectural history, garden history, archaeological and maritime studies and runs of many 19th and 20th Century journals including Proceedings of the Society of Antiquaries of Scotland, the Antiquaries Journal, Ulster Folklife, Country Life, the Ulster Journal of Archaeology; the Journal of the Royal Society of Antiquitians of Ireland; Architectural History; Journal of Horticulture and the Garden etc. Books, reports and other titles published in-house by the Department are also well represented.","The collection includes a range of specialist books and journals, many of which are not found elsewhere in Ulster or Ireland more generally.","Approx. 10,000 volumes comprising monographs, periodicals, journals, reports, theses and other papers.",Collection.Library.Special,Access is available to all interested persons for reference purposes only.,Active,Donation,Regular,"An evolving resource developing through a combination of loans, purchase and on-going work of the department.",,,,,,,,,,Items to be found within the MBR Library have been catalogued onto computer. A copy of the catalogue is available for on-site consultation at the MBR Offices.,,44,351,684,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=262,rascal,0,,"605,1776",,288,,,,177
263,Maps in Action,,,"“Maps in Action” is an electronic resource that has been developed for the Built Heritage branch of the Department of the Environment and Heritage Service for Northern Ireland as part of the Monuments and Buildings Record. It is an interactive database based on Ordnance Survey maps (both current and previous editions) which provides direct access to a range of data and maps concerning designated archaeological sites, historic monuments and registered parks located throughout the 6 counties of Northern Ireland. Each site is hot linked from a general map of Northern Ireland to ever more detailed and localized maps and plans. Each site is also linked to data on the main Northern Ireland Sites and Monuments Record Database providing a comprehensive and useful tool for this area of research.","Maps in Action is a valuable, automated research tool for researchers interested in the archaeological and architectural history and development of Northern Ireland.",Maps in Action is an automated resource/database application.,Collection.InteractiveResource.Special,Access is available to all interested persons for reference purposes only.,Active,Donation,Regular,The database continues to be updated as and when required.,,,,,,,,1995,,Maps in Action is available for on-site consultation at the MBR offices.,unpublished electronic resource based on datasets and OS maps etc,44,351,685,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=263,rascal,0,,"606,1373",,288,,,,177
264,MBR Photographic Collections,,,"The photographic collection of the Monuments and Buildings Record (MBR) is maintained and administered by the Built Heritage branch of the department of the Environment and Heritage Service for Northern Ireland. An extensive series of slides, negatives and prints, it contains a vast array of images depicting and relating to the archaeological, architectural and industrial heritage of Northern Ireland reflecting the collecting concerns of the MBR. <br><br>Included can be found photographs that have naturally accumulated as a result of the work of Built Heritage in addition to a number of named collections that have been acquired (by loan) to assist in that work. These include Professor James Curl’s Northern Ireland photographs, material deposited by the architectural historian, Sir Charles Brett and the Ulster Architectural Heritage Society (UAHS) and selected items from the Welch, Hogg, Greene and Lawrence collections copied from the holdings of the Ulster Museum. <br><br>Items are filed alphabetically by county.","This collection is valuable for providing an important and unique visual insight into the evolution and development of Northern Ireland’s built heritage. It would be of interest to researchers in archaeology, architecture, gardens and industrial history.","Approx. 200,000 items comprising in excess of 150,000 colour slides and 50,000 colour and black and white photographs.",Collection. Archive. Image,Access is available to all interested persons for reference purposes only.,Active,Donation,Regular,"An evolving resource developing through a combination of loans, purchase and on-going work of the department.",,,,,,,,,,An automated catalogue is available for consultation at the MBR offices.,Photographic/archive collection only.,44,351,686,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=264,rascal,0,,"245,489,601,747,894,1664,1777,1879",,288,,,"89,268,270",177
265,Cambridge University Collection of Aerial Photographs,,,"The Cambridge University Collection of Aerial Photographs held as part of the Monuments and Buildings Record (MBR) by the Environment and Heritage Service for Northern Ireland represents a copied portion of a much larger collection maintained by the Cambridge University Committee for Aerial Photography (CUCAP). This collection dates back to 1945 and includes aerial photographs taken by Professor Dr J. K. St. Joseph and his colleagues at the University and is one of the most important in the UK for archaeologists. <br><br>The collection held by the MBR comprises black and white prints of Irish interest, mainly consisting of oblique photographs taken in all parts of Northern Ireland and the Republic dating from 1951-55 and 1963-73. These items include panoramic views of landscape and scenery and individual elements in such landscapes such as abandoned river meanders or pre-historic settlements. Special attention is also paid to areas of ecological importance and to archaeological sites.","The strength of this collection lies in its availability to researchers studying in Northern Ireland who would otherwise have had to travel to the University of Cambridge in order to consult it. The collection provides an important, visual record of the Irish landscape documenting the existence and the changing conditions of archaeological sites and other physical features.",Approx. 800 photographic prints (Black & White),Collection. Archive. Image,Access to the collection is available to all interested persons for reference purposes only at offices of the Monuments and Buildings Record.,Closed,Purchase,Closed,,,,,,,,,1951,1973,A catalogue has been prepared in hard-copy and is available for consultation in the offices of the Monuments & Buildings Record in Belfast.,Photographic/archive collection only.,44,351,687,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=265,rascal,0,,"326,602,1663",,344,,,,177
266,John Seeds Architectural Collection,D/2134,,"The John Seeds Architectural Collection held as part of the Monuments and Buildings Record (MBR) is one of a number of specialist collections transferred on loan from the Public Record Office of Northern Ireland to the Environment and Heritage Service for Northern Ireland. John Seeds, a Fellow of the Royal Institute of British Architects, was a Belfast-based architect who served as the RIBA representative on the Ancient Monuments Advisory Committee of the Government of Northern Ireland from 1934. As a member of the Georgian sub-committee, he undertook a survey of the architecture of the Georgian period in the six counties. <br><br>The collection held here consists of a range of material accumulated by Seeds during the course of this work which represents an early attempt to create an Architectural Record for the north of Ireland. It includes photographs (glass-plate negatives and prints) and site notes from his survey which was carried out mainly at weekends. The collection also includes official papers, letters and reports relating to the Northern Ireland Planning Advisory Board on which Seeds also served as a representative of the Royal Society of Ulster Architects from 1942.","The collection contains a good range of images from the 1930s of Georgian architecture in Northern Ireland, many of which have since been demolished.","The collection consists of a range of glass-plate negatives, photographic prints, official files, notebooks and other papers.",Collection. Archive. Image. Text,Access is available to all interested persons for reference purposes only.,Closed,Donation,Closed,Transferred from PRONI in c. 1992/93.,,,,,,,,1934,1942,A catalogue has been prepared in hard-copy and is available for consultation in the offices of the Monuments & Buildings Record in Belfast.,Archive Collection,44,351,688,-1,8/30/2010,http://www.rascal.ac.uk/index.php?CollectionID=266,rascal,0,,"41,1319,1540,1541,1588",,"345,288",,,,177
