"description","LocationID","LocationType","LocationName","LocationAddress1","LocationAddress2","LocationAddress3","LocationCity","LocationCounty","LocationCountry","LocationPostcode","LocationWebsite","LocationAccess","AdministratorRole","AdministratorPhone","AdministratorFax","AdministratorEmail","OldLocID"
"The Department of Agriculture and Rural Development for Northern Ireland was established as a separate government department with the formation of the Northern Ireland Executive in 1999. It was set up to promote economic growth and the development of the countryside in Northern Ireland and to assist the competitive development of the agri-food, fishing and forestry sectors of the NI economy. It is also responsive to the needs of consumers for safe and wholesome food, the welfare of animals and the conservation of the environment.   See also: <a href=""http://www.dardni.gov.uk/index.htm"" target=""new_window"">http://www.dardni.gov.uk/index.htm</a>","67",,"Dublin City Public Libraries","138-144 Pearse Street, Dublin 2.",,,,,"7",,"http://www.dublincitypubliclibraries.ie ","The collection is open to the public during our normal library opening hours: Monday to Thursday from 10am to 8pm, Friday and Saturday from 10am to 5pm. Items may be borrowed with a Dublin City Public Libraries membership card.",,,,,"105"
,"68",,"RTÉ Sound Library","Radio Centre, Donnybrook, Dublin 4",,,,,"7",,"http://www.rte.ie/laweb/arc/arc_index.html","RTÉ Sound Library material is available for reference only and may not be copied or removed from the library. ","Assistant Librarian","0035312082044","0035312082610","jack.smith@rte.ie","107"
"The Ulster Women's Unionist Council was established on 23 January 1911. Initiated as the female equivalent to the main Ulster Unionist Council, it was established as an auxiliary organisation to oppose home rule, promote unionist propaganda and preserve the legislative union between Great Britain and Ireland. Led by members of Ulster's aristocratic elite, such as Mary Anne, 2nd Duchess of Abercorn and Theresa, 6th Marchioness of Londonderry, it became the largest female political association in early 20th century Ireland with a membership of between 115,000-200,000 by 1913 and a range of local branches throughout the north of Ireland. On the outbreak of World War I the organisation became engaged in extensive charity work, making arrangements to care for those who were discharged from the forces on medical grounds and inaugurating the Ulster Women's Gift Fund for Soldiers. After the Representation of the People Act in 1918 the movement became involved in the registration of women voters. Subsequent reorganisation involved speakers' classes, meetings that combined education with entertainment, and the holding of meetings outside Belfast to increase interest in the work of the Women's Council at a local level. Today the headquarters of the Ulster Unionist Council is located in Glengall Street, Belfast.","69",,"Dublin Institute of Technology Music & Drama Library","159 Rathmines Road, Dublin 6",,,,,"7",,"http://www.dit.ie/library/","See www.dit.ie/library/hours/. Please telephone in advance to ensure the material you need is available: 0035314023461 / 0035314023462.","Faculty Librarian (Applied Arts)","0035314024128","0035314027859","ann.wrigley@dit.ie","108"
"Young & Mackenzie, Architects, Donegall Square West, Belfast, 1825-1937. The firm was founded by the Rt Hon. Robert Young (1822-1917), architect and civil engineer, who articled with the renowned architect, Charles Lanyon, and afterwards was his chief assistant in carrying out important engineering works, including the Belfast and Ballymena Railway. Settling in his home town of Belfast in the early 1850s, he established the business in 1854 in partnership with John Mackenzie, being joined later by his son, Robert, who made a huge personal contribution to the work of the practice by his design of numerous nineteenth century buildings including: many Ulster Presbyterian churches, manses and schools; mansions and large warehouses; hospitals for several public authorities and well-known buildings. The firm is no longer in operation.","70",,"University College Cork","Boole Library, University College Cork, College Road, Cork.",,,,,"7",,"http://booleweb.ucc.ie/","See http://booleweb.ucc.ie/index.php?pageID=5 and also http://booleweb.ucc.ie/index.php?pageID=27","Assistant Librarian, Arts & Multimedia","00353214902918",,"r.madden@ucc.ie","109"
"Cork School of Music, which is a constituent college of CIT, offers a complete education in music including first, second, undergraduate (third) level and postgraduate.  Located within the centre of Cork City overlooking the River Lee, this five storey building functions as a centre of musical excellence locally, regionally, nationally and internationally.  The Fleischmann Library is the premier music library in the south, boasting thousands of CDs and books. The Library itself also has full daylight as its walls are glass providing a very positive environment for study.","71",,"Cork Institute of Technology","CIT Cork School of Music, Union Quay, Cork.",,,,,"7",,"http://library.cit.ie","Opening hours: Mon – Thurs: 9.00am-1.00pm and 2.00pm to 7.30pm; Fri – 9.00am -1.00pm and 2.00pm – 5.00pm. Please telephone call or email in advance; one week’s notice where possible. 00353 (0)21 4326494. ID required.","Deputy Librarian","00353214326494",,"tadhg.coakley@cit.ie","110"
"The Northern Ireland Heritage Gardens Committee began in 1980 as an informal group of five individuals with common cause, the nomination of gardens within Northern Ireland that were of outstanding international significance. The first task of the group was to produce a preliminary listing of gardens and parks in Northern Ireland and to submit details of them to the International Committee of Historic Gardens (a committee of the International Council on Monuments and Sites). This was completed in 1982 and formed the basis of Northern Gardens which was published in association with the Ulster Architectural Heritage Society. In c. 1989, funding was secured to set up a dedicated archive of gardens in Northern Ireland. This work was conducted on behalf of the Committee by the Historic Gardens Consultant, Belinda Jupp, and resulted in the publication of the Heritage Gardens Inventory (1992), a detailed listing of significant gardens in the north of Ireland. Source material accumulated during the course of this 3-year project was deposited as part of the Monuments and Buildings Record in c. 1993 for further expansion and permanent preservation. By this time, membership of the Committee had grown to 13 and included a representative selection of interested persons including the then librarian of Queen's University, George Wheeler and the Principal Inspector of the Historic Monuments and Buildings Branch of the DoE, Dr Ann Hamlin. The committee currently operates out of this department, now known as the Environment and Heritage Service: Built Heritage, under the direction of Mr Terence Reeves-Smyth who now maintains the present Inventory.  Source: Heritage Gardens Inventory, compiled by Belinda Jupp (Belfast, 1992)","72",,"Dundalk Institute of Technology Library","Dublin Road, Dundalk.",,,,,"7",,"http://ww2.dkit.ie/library","Term: Mon-Thurs 9am-9pm, Fri 9am-5pm, Sat 10-4pm; Out of Term: Mon-Fri 9am-5pm. Telephone to ensure the material you need is available: 00353429370312.","Senior Library Assistant","00353429370312",,"John.king@dkit.ie","111"
"The Equality Commission is the body responsible for combating discrimination and promoting equality in Northern Ireland. The Equality Commission for Northern Ireland is an independent public body established under the Northern Ireland Act 1998.  On 1 October 1999 the commission took over the functions previously exercised by the Commission for Racial Equality for Northern Ireland, the Equal Opportunities Commission for Northern Ireland, the Fair Employment Commission and the Northern Ireland Disability Council.    ","73",,"Equality Commission for Northern Ireland.","quality House, 7-9 Shaftesbury Square, BELFAST",,,,,"6","BT2 7DP","http://www.equalityni.org","Resource Centre is open Mon - Fri  09:00 - 17:00  Photocopying facilities available. There are parking places for people with disabilities. Building is accessible to wheelchair users. ","Information Officer","+44 (0)28 90500562","+44 (0)28 90248687","lmackender@equalityni.org","112"
,"74",,"Clare County Library","Hillery Public Library, Ballard Road, Miltown Malbay, Co. Clare",,,,,"7",,"www.clarelibrary.ie","Opening Hours: Tuesday and Thursday 12.00-17.30 and 18.00 – 20.00; Wednesday and Friday 10.00 – 13.00 and 14.00 – 17.30; Saturday 10.00 – 14.00. Call in advance to check that materials are available (00353-65–7084822).","Senior Executive Librarian","00353-65-6899093","00353-65-6841462","carrie.stafford@clarelibrary.ie","113"
,"76","1","Office of the First and Deputy First Minister","Statutory Publications Office","2 Room A5 03, Castle Buildings","Stormont","Belfas",,"2","BT4 3SR  ","http://www.ofmdfmni.gov.uk/","<p>Any access may be arranged but on a consultation basis only.</p>","Librarian","00442890528481","00442890523201","SPO.legislation@ofmdfmni.gov.uk",
,"77","1","Statutory Publications Office","OFMDFM ","Room A5 03, Castle Buildings ","Stormont","Belfast",,"2","BT4 3SR  ","http://www.ofmdfmni.gov.uk/","<p>Any access may be arranged but on a consultation basis only.</p>","Librarian","00442890528481","00442890523201","SPO.legislation@ofmdfmni.gov.uk",
,"78","1","Youth Link: NI","Farset Enterprise Park","638 Springfield Road",,"Belfast ","Antrim","2","BT12 7DY","http://www.youthlink.org.uk","The library is mainly for use by students registered on the BA Honours Degree in Youth & Community Work and Practical Theology and others participating in training programmes delivered at Youth Link, however access to the colelction is also available to other interested groups. The Library Catlaogue is availabll at http://youthlink.soutron.net/library","Librarian","00442890323217",,"library@youthlink.org.uk",
,"123","1","Kilkenny County Library Service","Johns Green House","Johns Green",,"Kilkenny",,"3",,"www.kilkennylibrary.ie","Access by appointment only to musical scores and a range of reference materials. <br /><br />Online access via Borrowbooks to the general music collection across the branch network.","Librarian","00353567794173","00353567794168","info@kilkennylibrary.ie",
"The Chester Beatty Library, Dublin is an art museum and library which houses the great collection of manuscripts, miniature paintings, prints, drawings, rare books and some decorative arts assembled by Sir Alfred Chester Beatty (1875-1968).","124","1","Chester Beatty Library","Dublin Castle",,,"Dublin",,"7","Dublin 2","http://www.cbl.ie","<p>Research access to collections is by appointment.</p> <p>Further information on opening times and access conditions is available at http://www.cbl.ie</p>","Reference Librarian","0035314070757","0035314070760","info@cbl.ie",
"<a href=""http://www.met.ie/about/our-history.asp"">http://www.met.ie/about/our-history.asp</a><br /><br />","126","1","Met Eireann, Research Division","Glasnevin Hill",,,"Dublin",,"7","Dublin 9","www.met.ie","<p>The Library is open to the public, by appointment with the Librarian prior to visiting.</p>","Librarian","0035318064225","0035318064247","library@met.ie",
"<p>Newry and Mourne Museum was established in 1986 and aims to provide a dynamic and inclusive recreational and educational resource reflecting the rich cultural heritage of the local area.</p> <p>The museum's diverse collections currently include material relating to prehistory; Newry's Cistercian foundation; Ulster's Gaelic Order and its relationship with the English Crown; the building of a merchant town and the first summit level canal in the British Isles; the working life and folk traditions of rural and mountain areas; fishing, trade and migration by sea; renowned local personalities and businesses; folklore, storytelling and music; and modern experiences of a Border area. All these aspects of local heritage are explored at through a varied programme of exhibitions, educational events and activities.</p> The Museum is housed in two adjoining buildings, the first being known as Bagenal's Castle which is a fortified house built by Sir Nicholas Bagenal in the 1560s. The warehouse adjoining Bagenal's Castle on the north side was added in the early 19<sup>th</sup> century and was used by Joseph Doyle, a seed merchant. In 1894 the complex became the home of Arthur McCann Limited and functioned as a bakery until the mid 1990s.","127","2","Newry and Mourne Museum","Bagenal's Castle","Castle Street",,"Newry","Down","2","BT34 2BY","http://www.bagenalscastle.com/","<p>Museum entry is free of charge and is open from:</p> <p>Monday to Saturday 10.00 - 16.30<br />Sunday 13.30 - 17.00</p> <p>We are open on Bank Holidays (excluding Christmas Day, December 26th and New Year's Day)</p>","Collections Research Assistant","00442830313173",,"shane.mcgivern@newryandmourne.gov.uk",
"John Elliott Cairnes (1823-1875)","128","1","NUI Galway","National University of Ireland Galway","University Road",,"Galway",,"3",,"http://www.library.nuigalway.ie/","<p>Opening Hours (Term time):</p> <p>09.00-17.00 Monday, Wednesday, Thursday, Friday</p> <p>09.00-21.00 Tuesday</p> <p>Opening Hours (Vacation time):</p> <p>09.00-17.00 Monday to Friday<br /><br />Facilities in the Special Collections Reading Room include study spaces for consulting material, WiFi and photocopying. Lockers are provided for readers to store property while working on Special Collections or Archives material.<br /><br />Intending visitors should email specialcollections@nuigalway.ie in advance. </p>","Assistant Librarian","0035391493253",,"olivia.lardner@nuigalway.ie",
"tbc","129","1","Newcastle University","Special Collections, Robinson Library","Newcastle University",,"Newcastle upon Tyne",,"1","NE2 4HQ",,"The Special Collections Reading Room is located on floor 1 of the Robinson Library, it is open Monday to Friday, 09.30 - 16.30<br /><br />Further details on accessing Special Collections materials at Newcastle University are available at <br /><br />http://www.ncl.ac.uk/library/special-collections/","Archivist","00441912087712",,"ian.johnson@newcastle.ac.uk",
,"130","1","Libraries NI","Heritage, Belfast, Ulster and Irish Department","Belfast Central Library","Royal Avenue","Belfast","Antrim","2","BT1 1EA",,"<p class=""lnistylesElement-P"">Mon: 09.00 - 20.00<br />Tues: 09.00 - 17.30<br />Wed: 09.00 - 17.30<br />Thurs: 09.00 - 20.00<br />Friday: 09.00 - 17.30<br /><br />Sat: 09.00m - 16.30<br />Sun: Closed<br /><br />Libraries NI has an extensive range of resources that are of benefit to historians, researchers, genealogists, students and those who have an interest in cultural and community life, past or present.</p> <p class=""lnistylesElement-P"">You can get advice in any public library in Northern Ireland, with the main heritage collections located in libraries in <a title=""Irish and Local Studies Library, Armagh"" href=""http://www.librariesni.org.uk/Services/Heritage/Pages/Irish-and-Local-Studies-Library-Armagh.aspx"">Armagh</a>, <a title=""Ballymena Central Library"" href=""http://www.librariesni.org.uk/Services/Heritage/Pages/Ballymena-Central-Library.aspx"">Ballymena</a>,<a title=""Belfast Central Library"" href=""http://www.librariesni.org.uk/Services/Heritage/Pages/Belfast-Central-Library.aspx"">Belfast</a>, <a href=""http://www.librariesni.org.uk/Services/Heritage/Pages/Derry-Central-Library.aspx"">Derry</a>, <a href=""http://www.librariesni.org.uk/Services/Heritage/Pages/Downpatrick-Library.aspx"">Downpatrick</a>, <a href=""http://www.librariesni.org.uk/Services/Heritage/Pages/Enniskillen-Library.aspx"">Enniskillen</a>, <a href=""http://www.librariesni.org.uk/Services/Heritage/Pages/Newry-City-Library.aspx"">Newry</a>, <a href=""http://www.librariesni.org.uk/Services/Heritage/Pages/Omagh-Library.aspx"">Omagh</a> and the <a title=""Mellon centre for Migration Studies"" href=""http://www.librariesni.org.uk/Services/Heritage/Pages/Mellon-Centre-for-Migration-Studies.aspx"">Mellon Centre for Migration Studies (MCMS).</a> <br /><br /><br /></p> <div> </div>","Librarian","00442890509150",,"belfast.central@librariesni.org.uk",
,"131","1","Armagh City Library","2 Market Street",,,"Armagh",,,"BT61 7BU",,"http://www.librariesni.org.uk/Libraries/Pages/Armagh-City-Library.aspx <br /><br />Opening times:<br /><br />Mon, Wed, Thurs, Fri &amp; Sat: 09.30 -17.00<br />Tues: 13.00-20.00<br />Sun: Closed<br /><br /><br />","Librarian","00442837524072",,"armagh.library@librariesni.org.uk",
,"132","1","Ballymena Central Library","5 Pat's Brae",,,"Ballymena","Antrim","2","BT43 5AX",,"http://www.librariesni.org.uk/Libraries/Pages/Ballymena-Central-Library.aspx<br /><br />Mon, Tue, Wed, Fri &amp; Sat: 09.30-17.00<br /><br />Thurs: 09.30-20.00<br />Sun: Closed<br />","Librarian","00442825633950",,"ballymena.library@librariesni.org.uk",
"Founded in 1842 by a priest of the <a href=""http://www.holycrosscongregation.org/"">Congregation of Holy Cross</a>, Notre Dame is an independent, national Catholic research university located adjacent to the city of South Bend, Indiana, in a metropolitan area of more than 300,000 residents approximately 90 miles east of Chicago.<br /><br />The University is organized into four undergraduate colleges — <a href=""http://al.nd.edu/"">Arts and Letters</a>, <a href=""http://www.science.nd.edu/"">Science</a>, <a href=""http://engineering.nd.edu/"">Engineering</a>, and the <a href=""http://business.nd.edu/"">Mendoza College of Business</a> — the <a href=""http://architecture.nd.edu/"">School of Architecture</a>, the <a href=""http://law.nd.edu/"">Law School</a>, the <a href=""http://graduateschool.nd.edu/"">Graduate School</a>, 14 major research institutes, two dozen centers and special programs, and the University Library system. Enrollment for the 2012-13 academic year was 12,126 students overall and 8,475 undergraduates. The Graduate School, established in 1918, encompasses 48 master’s and 26 doctoral degree programs in and among 30 University departments and institutes.<br /><br />With 1,250 acres containing two lakes and 143 buildings with a total property replacement value of $3.3 billion, Notre Dame is well known for the quality of its physical plant and the beauty of its campus. The<a href=""http://basilica.nd.edu/"">Basilica of the Sacred Heart</a>, the 14-story Hesburgh Library with its 132-feet-high mural depicting Christ the Teacher, and the University’s historic Main Building with its famed Golden Dome are among the most widely known university landmarks in the world.<br /><br />","134","1","University of Notre Dame","Hesburgh Libraries",,,"Notre Dame",,"10","IN 46556-5629","http://library.nd.edu/","The Department of Rare Books and Special Collections is located in the Hesburgh Library on Notre Dame's campus. The Department is open to students, faculty, visiting researchers, and members of the community Monday through Friday from 9am-5pm (closed weekends and major holidays).<br /><br />Further information on access and on collections is available on the website: <a title=""Rare Books"" href=""http://rarebooks.library.nd.edu/"">http://rarebooks.library.nd.edu/</a>","Librarian","0015746310497",,"aclemen1@nd.edu",
"Traditional Irish musician, performer and teacher. Born in 1944 into a musical family in Killaloe, County Clare, Ireland, Connolly began playing the fiddle at age 12 and went on to win the Irish National Fiddle Championship ten times. As a young musician he traveled throughout Ireland, meeting and playing music with many of the legends of Irish music, and performing regularly on Irish radio and television. In 1976 he immigrated to America and settled in the Boston area. He has given performances and workshops around the world, and created the Gaelic Roots Festival (1993-2003) at Boston College, where he was appointed Sullivan Family Artist-in-Residence in 2004.","135","1","Boston College, John J. Burns Library","140 Commonwealth Avenue",,,"Chestnut Hill",,"10","02467","http://bc.edu/burns","The John J. Burns Library maintains a secure, quiet Reading Room for researchers who wish to consult non-circulating Burns Library materials.<br /><br />Burns Library is open to all researchers regardless of academic affiliation. Burns Library reference staff can be reached during <a title=""open hours"" href=""http://www.bc.edu/content/bc/libraries/about/hours.html"" target=""_blank"">open hours</a> at +1 617-552-4861 or by email <a title=""burnsref@bc.edu"" href=""mailto:burnsref@bc.edu"" target=""_blank"">burnsref@bc.edu</a>.","Librarian","0016175524861","0016175522465","burnsref@bc.edu",
,"136","1","University of Kansas, Kenneth Spencer Research Library","Kenneth Spencer Research Library","University of Kansas","1450 Poplar Lane","Lawrence",,"10","KS 66045-7616","https://spencer.lib.ku.edu/","<p>Kenneth Spencer Research Library is located at 1450 Poplar Lane on the University of Kansas main campus in Lawrence. The library is open to everyone who registers and shows photo identification.<br /><br /> https://spencer.lib.ku.edu/using-the-library/visiting-library </p> <p>Pedestrians can reach the library by passing through the rotunda of Strong Hall on Jayhawk Boulevard and crossing the terrace which connects Strong Hall with Spencer or by entering the ground floor door of Spencer from the covered parking area off Poplar Lane.<br /><br /> </p> <p>The ground floor door (in the covered parking area off Poplar Lane) of the Spencer Research Library is approached by sidewalks with curb cuts and has powered doors activated by clearly marked buttons. These are particularly useful for visitors using wheel chairs or carrying awkward packages.</p> <p>All public areas of the library are wheel chair accessible and have braille signage.</p> <p>Wheel chair accessible restrooms are located on the ground floor.</p> <p>All floors of the library are served by an elevator located just inside the entrance doors.</p>","Librarian","0017858644334","0017858645803","ksrlref@ku.edu",
,"137","1","Dublin Institute for Advanced Studies","10 Burlington Road",,,"Dublin","Dublin","3","Dublin 4","https://www.dias.ie/celt/celt-library/","<p>The library of the School of Celtic Studies aims to provide the best facilities and materials for the purpose of advanced research in the area of Celtic Studies.</p> <p>The library is a private research facility and is a participating member of<a href=""https://www.dias.ie/celt/celt-library/celt-alcid/"">ALCID</a>.<br /><br />If you wish to visit us then please <a title=""email"" href=""mailto:library@celt.dias.ie"" target=""_blank"">email</a> prior to your visit for further details on access.</p>","Librarian","0035316140100",,"library@celt.dias.ie",

